provider,hospital,hospcity,hospstate,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
111313,Putnam General Hospital,Eatonton,GA,11051,Eatonton,GA,144,Atlanta,GA
111314,Pioneer Community Hosp of Early,Blakely,GA,11014,Blakely,GA,2,Dothan,AL
111315,Charlton Memorial Hospital,Folkston,GA,11055,Folkston,GA,123,Jacksonville,FL
111316,Warm Springs Medical Center,Warm Springs,GA,11073,La Grange,GA,144,Atlanta,GA
111318,Monroe County Hospital,Forsyth,GA,11056,Forsyth,GA,147,Macon,GA
111319,Sylvan Grove Hospital,Jackson,GA,11070,Jackson,GA,144,Atlanta,GA
111320,Higgins General Hospital,Bremen,GA,11017,Bremen,GA,148,Rome,GA
111321,Lower Oconee Community Hospital,Glenwood,GA,11060,Glenwood,GA,147,Macon,GA
111322,Stewart-Webster Hospital,Richland,GA,11095,Richland,GA,146,Columbus,GA
111323,Doctors Hospital of Tattnall,Reidsville,GA,11094,Reidsville,GA,149,Savannah,GA
111324,Chatuge Reg Hosp and Nursing Home,Hiawassee,GA,11067,Hiawassee,GA,144,Atlanta,GA
111325,Wills Memorial Hospital,Washington,GA,11125,Washington,GA,145,Augusta,GA
111326,Louis Smith Memorial Hospital,Lakeland,GA,11074,Lakeland,GA,140,Tallahassee,FL
111327,Bacon County Hosp and Health Sys,Alma,GA,11003,Alma,GA,123,Jacksonville,FL
111328,Phoebe Worth Medical Center,Sylvester,GA,11002,Albany,GA,142,Albany,GA
111329,St. Joseph's of East Georgia,Greensboro,GA,11061,Greensboro,GA,144,Atlanta,GA
111330,Polk Medical Center,Cedartown,GA,11098,Rome,GA,148,Rome,GA
111331,Mitchell County Hospital,Camilla,GA,11002,Albany,GA,142,Albany,GA
111332,Brooks County Hospital,Quitman,GA,11093,Quitman,GA,140,Tallahassee,FL
111333,Jeff Davis Hospital,Hazlehurst,GA,11066,Hazlehurst,GA,149,Savannah,GA
111334,Candler County Hospital,Metter,GA,11082,Metter,GA,149,Savannah,GA
111335,Liberty Regional Medical Center,Hinesville,GA,11068,Hinesville,GA,149,Savannah,GA
111336,Mountain Lakes Medical Center,Clayton,GA,11029,Clayton,GA,144,Atlanta,GA
112017,"Landmark Hospital of Athens, Llc",Athens,GA,11006,Athens,GA,144,Atlanta,GA
120001,Queen's Medical Center,Honolulu,HI,12003,Honolulu,HI,150,Honolulu,HI
120002,Maui Memorial Medical Center,Wailuku,HI,12013,Wailuku,HI,150,Honolulu,HI
120004,Wahiawa General Hospital,Wahiawa,HI,12012,Wahiawa,HI,150,Honolulu,HI
120005,Hilo Medical Center,Hilo,HI,12001,Hilo,HI,150,Honolulu,HI
120006,Castle Medical Center,Kailua,HI,12005,Kailua,HI,150,Honolulu,HI
120007,Kuakini Medical Center,Honolulu,HI,12003,Honolulu,HI,150,Honolulu,HI
120010,Hawaii Medical Center East,Honolulu,HI,12003,Honolulu,HI,150,Honolulu,HI
120014,Wilcox Memorial Hospital,Lihue,HI,12010,Lihue,HI,150,Honolulu,HI
120019,Kona Community Hospital,Kealakekua,HI,12007,Kealakekua,HI,150,Honolulu,HI
120022,Straub Clinic & Hospital,Honolulu,HI,12003,Honolulu,HI,150,Honolulu,HI
120026,Pali Momi Medical Center,Aiea,HI,12003,Honolulu,HI,150,Honolulu,HI
120027,Hawaii Medical Center West,Ewa Beach,HI,12003,Honolulu,HI,150,Honolulu,HI
120028,North Hawaii Community Hospital,Kamuela,HI,12001,Hilo,HI,150,Honolulu,HI
121300,Kauai Veterans Memorial Hospital,Waimea,HI,12014,Waimea,HI,150,Honolulu,HI
121303,Molokai General Hospital,Kaunakakai,HI,12003,Honolulu,HI,150,Honolulu,HI
121304,Kahuku Medical Center,Kahuku,HI,12003,Honolulu,HI,150,Honolulu,HI
130002,St. Luke's Magic Valley Med Ctr,Twin Falls,ID,13038,Twin Falls,ID,151,Boise,ID
130003,St. Joseph Regional Med Ctr,Lewiston,ID,13020,Lewiston,ID,440,Spokane,WA
130006,St. Luke's Regional Med Ctr,Boise,ID,13004,Boise,ID,151,Boise,ID
130007,St. Alphonsus Regional Med Ctr,Boise,ID,13004,Boise,ID,151,Boise,ID
130013,St. Alphonsus Med Ctr - Nampa,Nampa,ID,13026,Nampa,ID,151,Boise,ID
130014,West Valley Medical Center,Caldwell,ID,13007,Caldwell,ID,151,Boise,ID
130018,Eastern Idaho Regional Med Ctr,Idaho Falls,ID,13017,Idaho Falls,ID,152,Idaho Falls,ID
130025,Madison Memorial Hospital,Rexburg,ID,13030,Rexburg,ID,152,Idaho Falls,ID
130028,Portneuf Medical Center,Pocatello,ID,13028,Pocatello,ID,423,Salt Lake City,UT
130049,Kootenai Medical Center,Coeur D'Alene,ID,13009,Coeur D'Alene,ID,440,Spokane,WA
130063,Treasure Valley Hospital,Boise,ID,13004,Boise,ID,151,Boise,ID
130065,Mountain View Hospital,Idaho Falls,ID,13017,Idaho Falls,ID,152,Idaho Falls,ID
130066,Northwest Specialty Hospital,Post Falls,ID,13009,Coeur D'Alene,ID,440,Spokane,WA
131301,Boundary Community Hospital,Bonners Ferry,ID,13005,Bonners Ferry,ID,440,Spokane,WA
131302,North Canyon Medical Center,Gooding,ID,13038,Twin Falls,ID,151,Boise,ID
131303,Oneida County Hospital,Malad City,ID,13021,Malad City,ID,423,Salt Lake City,UT
131304,Harms Memorial Hospital District,American Falls,ID,13028,Pocatello,ID,423,Salt Lake City,UT
131305,Steele Memorial Medical Center,Salmon,ID,13032,Salmon,ID,276,Missoula,MT
131307,Weiser Memorial Hospital,Weiser,ID,13039,Weiser,ID,151,Boise,ID
131308,Cascade Medical Center,Cascade,ID,13004,Boise,ID,151,Boise,ID
131309,Caribou Mem Hosp and Living Ctr,Soda Springs,ID,13035,Soda Springs,ID,423,Salt Lake City,UT
131310,St. Benedicts Family Med Ctr,Jerome,ID,13038,Twin Falls,ID,151,Boise,ID
131311,Elmore Medical Center,Mountain Home,ID,13025,Mountain Home,ID,151,Boise,ID
131312,St. Luke's McCall Hospital,McCall,ID,13022,McCall,ID,151,Boise,ID
131313,Teton Valley Hosp and Surgicenter,Driggs,ID,13012,Driggs,ID,152,Idaho Falls,ID
131314,Shoshone Medical Center,Kellogg,ID,13019,Kellogg,ID,440,Spokane,WA
131315,Syringa Hospital and Clinics,Grangeville,ID,13015,Grangeville,ID,440,Spokane,WA
131316,Bear Lake Memorial Hospital,Montpelier,ID,13023,Montpelier,ID,423,Salt Lake City,UT
131317,Benewah Community Hospital,St. Maries,ID,13036,St. Maries,ID,440,Spokane,WA
131318,Walter Knox Memorial Hospital,Emmett,ID,13004,Boise,ID,151,Boise,ID
131319,Minidoka Memorial Hospital,Rupert,ID,13031,Rupert,ID,423,Salt Lake City,UT
131320,Clearwater Valley Hosp and Clinics,Orofino,ID,13027,Orofino,ID,440,Spokane,WA
131321,St. Mary's Hospital,Cottonwood,ID,13010,Cottonwood,ID,440,Spokane,WA
131322,Franklin County Medical Center,Preston,ID,13029,Preston,ID,423,Salt Lake City,UT
131323,St. Luke's Wood River Med Ctr,Ketchum,ID,13037,Sun Valley,ID,151,Boise,ID
131324,Lost Rivers District Hospital,Arco,ID,13017,Idaho Falls,ID,152,Idaho Falls,ID
131325,Bingham Memorial Hospital,Blackfoot,ID,13003,Blackfoot,ID,152,Idaho Falls,ID
131326,Cassia Regional Medical Center,Burley,ID,13006,Burley,ID,423,Salt Lake City,UT
131327,Gritman Medical Center,Moscow,ID,13024,Moscow,ID,440,Spokane,WA
131328,Bonner General Hospital,Sandpoint,ID,13033,Sandpoint,ID,440,Spokane,WA
132002,Complex Care Hospital of Idaho,Meridian,ID,13004,Boise,ID,151,Boise,ID
132003,Southwest Idaho Advanced Care Hosp,Boise,ID,13004,Boise,ID,151,Boise,ID
140001,Graham Hospital,Canton,IL,14014,Canton,IL,170,Peoria,IL
140002,Alton Memorial Hospital,Alton,IL,14002,Alton,IL,273,St. Louis,MO
140007,Provena St. Joseph Med Ctr-Joliet,Joliet,IL,14068,Joliet,IL,164,Joliet,IL
140008,Gottlieb Memorial Hospital,Melrose Park,IL,14084,Melrose Park,IL,166,Melrose Park,IL
140010,NorthShore Evanston Hospital,Evanston,IL,14040,Evanston,IL,161,Evanston,IL
140011,Herrin Hospital,Herrin,IL,14058,Herrin,IL,273,St. Louis,MO
140012,Katherine Shaw Bethea Hospital,Dixon,IL,14031,Dixon,IL,171,Rockford,IL
140013,Proctor Hospital,Peoria,IL,14106,Peoria,IL,170,Peoria,IL
140015,Blessing Hospital,Quincy,IL,14112,Quincy,IL,172,Springfield,IL
140018,Mount Sinai Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140019,Shelby Memorial Hospital,Shelbyville,IL,14123,Shelbyville,IL,172,Springfield,IL
140026,St. Mary's Hospital - Streator,Streator,IL,14132,Streator,IL,170,Peoria,IL
140029,Rush-Copley Medical Center,Aurora,IL,14005,Aurora,IL,154,Aurora,IL
140030,Sherman Hospital,Elgin,IL,14037,Elgin,IL,158,Elgin,IL
140032,St. Anthony's Memorial Hospital,Effingham,IL,14035,Effingham,IL,172,Springfield,IL
140034,St. Mary's Hospital - Centralia,Centralia,IL,14020,Centralia,IL,273,St. Louis,MO
140040,Galesburg Cottage Hospital,Galesburg,IL,14047,Galesburg,IL,170,Peoria,IL
140043,CGH Medical Center,Sterling,IL,14131,Sterling,IL,171,Rockford,IL
140046,Good Samaritan Reg Health Ctr,Mount Vernon,IL,14093,Mount Vernon,IL,273,St. Louis,MO
140048,Advocate Trinity Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140049,West Suburban Medical Center,Oak Park,IL,14098,Oak Park,IL,166,Melrose Park,IL
140051,NorthShore Skokie Hospital,Skokie,IL,14125,Skokie,IL,161,Evanston,IL
140052,St. Anthony's Health Center-Alton,Alton,IL,14002,Alton,IL,273,St. Louis,MO
140053,St. John's Hospital,Springfield,IL,14128,Springfield,IL,172,Springfield,IL
140054,MacNeal Hospital,Berwyn,IL,14010,Berwyn,IL,166,Melrose Park,IL
140058,Passavant Area Hospital,Jacksonville,IL,14066,Jacksonville,IL,172,Springfield,IL
140059,Jersey Community Hospital,Jerseyville,IL,14067,Jerseyville,IL,273,St. Louis,MO
140062,Palos Community Hospital,Palos Heights,IL,14101,Palos Heights,IL,155,Blue Island,IL
140063,Rush Oak Park Hospital,Oak Park,IL,14098,Oak Park,IL,166,Melrose Park,IL
140064,OSF St. Mary Medical Center,Galesburg,IL,14047,Galesburg,IL,170,Peoria,IL
140065,Adventist La Grange Mem Hosp,La Grange,IL,14071,La Grange,IL,166,Melrose Park,IL
140067,OSF St. Francis Medical Center,Peoria,IL,14106,Peoria,IL,170,Peoria,IL
140068,Roseland Community Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140077,Touchette & Kenneth Hall Reg Hosps,Centreville,IL,14007,Belleville,IL,273,St. Louis,MO
140080,St. Francis Hospital-Evanston,Evanston,IL,14040,Evanston,IL,161,Evanston,IL
140082,Louis A. Weiss Memorial Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140083,Loretto Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140084,Vista Medical Center East,Waukegan,IL,14139,Waukegan,IL,451,Milwaukee,WI
140088,University of Chicago Med Ctr,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140089,McDonough District Hospital,Macomb,IL,14077,Macomb,IL,172,Springfield,IL
140091,Carle Foundation Hospital,Urbana,IL,14136,Urbana,IL,173,Urbana,IL
140093,Provena United Samaritans Med Ctr,Danville,IL,14027,Danville,IL,173,Urbana,IL
140095,St. Anthony Hospital-Chicago,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140100,Midwestern Regional Med Ctr,Zion,IL,14139,Waukegan,IL,451,Milwaukee,WI
140101,Morris Hosp & Healthcare Centers,Morris,IL,14090,Morris,IL,164,Joliet,IL
140103,St. Bernard Hosp and Hlth Care Ctr,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140110,Ottawa Reg Hosp and Healthcare Ctr,Ottawa,IL,14100,Ottawa,IL,170,Peoria,IL
140113,Provena Covenant Medical Center,Urbana,IL,14136,Urbana,IL,173,Urbana,IL
140114,Swedish Covenant Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140115,Thorek Memorial Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140116,Centegra Hospital - McHenry,McHenry,IL,14082,McHenry,IL,158,Elgin,IL
140117,Resurrection Medical Center,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140118,MetroSouth Medical Center,Blue Island,IL,14012,Blue Island,IL,155,Blue Island,IL
140119,Rush University Medical Center,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140120,Pekin Hospital,Pekin,IL,14105,Pekin,IL,170,Peoria,IL
140122,Adventist Hinsdale Hospital,Hinsdale,IL,14062,Hinsdale,IL,163,Hinsdale,IL
140124,John H. Stroger Jr. Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140125,Gateway Regional Medical Center,Granite City,IL,14051,Granite City,IL,273,St. Louis,MO
140127,Advocate BroMenn Medical Center,Normal,IL,14011,Bloomington,IL,175,Bloomington,IL
140130,Northwestern Lake Forest Hosp,Lake Forest,IL,14072,Lake Forest,IL,161,Evanston,IL
140133,Holy Cross Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140135,Decatur Memorial Hospital,Decatur,IL,14029,Decatur,IL,172,Springfield,IL
140137,Greenville Regional Hospital,Greenville,IL,14052,Greenville,IL,273,St. Louis,MO
140143,St. Margaret's Hospital,Spring Valley,IL,14127,Spring Valley,IL,170,Peoria,IL
140145,St. Joseph's Hospital-Breese,Breese,IL,14013,Breese,IL,273,St. Louis,MO
140147,Richland Memorial Hospital,Olney,IL,14099,Olney,IL,179,Evansville,IN
140148,Memorial Med Ctr-Springfield,Springfield,IL,14128,Springfield,IL,172,Springfield,IL
140150,Univ of Illinois Med Ctr-Chicago,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140151,Sacred Heart Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140155,Provena St. Mary's Hospital,Kankakee,IL,14069,Kankakee,IL,164,Joliet,IL
140158,Mercy Hospital and Med Ctr,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140160,FHN Memorial Hospital,Freeport,IL,14045,Freeport,IL,171,Rockford,IL
140161,OSF St. James - John W. Albrecht,Pontiac,IL,14110,Pontiac,IL,175,Bloomington,IL
140162,OSF St. Joseph Medical Center,Bloomington,IL,14011,Bloomington,IL,175,Bloomington,IL
140164,Memorial Hospital of Carbondale,Carbondale,IL,14015,Carbondale,IL,273,St. Louis,MO
140166,St. Mary's Hospital - Decatur,Decatur,IL,14029,Decatur,IL,172,Springfield,IL
140167,Iroquois Mem Hosp & Resident Home,Watseka,IL,14138,Watseka,IL,173,Urbana,IL
140172,Franciscan St. James Hospital,Olympia Fields,IL,14024,Chicago Heights,IL,155,Blue Island,IL
140174,Provena Mercy Medical Center,Aurora,IL,14005,Aurora,IL,154,Aurora,IL
140176,Centegra Hospital - Woodstock,Woodstock,IL,14143,Woodstock,IL,171,Rockford,IL
140177,Jackson Park Hosp and Med Ctr,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140179,Little Company of Mary Hospital,Evergreen Park,IL,14097,Oak Lawn,IL,155,Blue Island,IL
140180,Saints Mary & Elizabeth Med Ctr,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140181,South Shore Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140182,Advocate Illinois Masonic Med Ctr,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140184,Heartland Regional Med Ctr,Marion,IL,14078,Marion,IL,208,Paducah,KY
140185,Memorial Hospital - Belleville,Belleville,IL,14007,Belleville,IL,273,St. Louis,MO
140186,Riverside Medical Center,Kankakee,IL,14069,Kankakee,IL,164,Joliet,IL
140187,St. Elizabeth's Hospital,Belleville,IL,14007,Belleville,IL,273,St. Louis,MO
140189,Sarah Bush Lincoln Health Center,Mattoon,IL,14080,Mattoon,IL,173,Urbana,IL
140191,Ingalls Memorial Hospital,Harvey,IL,14055,Harvey,IL,155,Blue Island,IL
140197,Methodist Hospital of Chicago,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140200,Elmhurst Memorial Hospital,Elmhurst,IL,14039,Elmhurst,IL,166,Melrose Park,IL
140202,Advocate Condell Medical Center,Libertyville,IL,14074,Libertyville,IL,451,Milwaukee,WI
140206,Norwegian American Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140208,Advocate Christ Medical Center,Oak Lawn,IL,14097,Oak Lawn,IL,155,Blue Island,IL
140209,Methodist Med Ctr of Illinois,Peoria,IL,14106,Peoria,IL,170,Peoria,IL
140210,Harrisburg Medical Center,Harrisburg,IL,14053,Harrisburg,IL,179,Evansville,IN
140211,Delnor Hospital,Geneva,IL,14147,Geneva,IL,166,Melrose Park,IL
140213,Silver Cross Hospital,Joliet,IL,14068,Joliet,IL,164,Joliet,IL
140217,Provena St. Joseph Hosp-Elgin,Elgin,IL,14037,Elgin,IL,158,Elgin,IL
140223,Advocate Lutheran General Hosp,Park Ridge,IL,14104,Park Ridge,IL,161,Evanston,IL
140224,St. Joseph Hospital-Chicago,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140228,SwedishAmerican Hospital,Rockford,IL,14117,Rockford,IL,171,Rockford,IL
140231,Edward Hospital,Naperville,IL,14095,Naperville,IL,163,Hinsdale,IL
140233,OSF St. Anthony Medical Center,Rockford,IL,14117,Rockford,IL,171,Rockford,IL
140234,Illinois Valley Community Hosp,Peru,IL,14107,Peru,IL,170,Peoria,IL
140239,Rockford Memorial Hospital,Rockford,IL,14117,Rockford,IL,171,Rockford,IL
140240,Westlake Hospital,Melrose Park,IL,14084,Melrose Park,IL,166,Melrose Park,IL
140242,Central DuPage Hospital,Winfield,IL,14141,Winfield,IL,166,Melrose Park,IL
140250,Advocate South Suburban Hospital,Hazel Crest,IL,14057,Hazel Crest,IL,155,Blue Island,IL
140251,Our Lady of the Resurrection,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140252,Northwest Community Hospital,Arlington Heights,IL,14004,Arlington Heights,IL,161,Evanston,IL
140258,Alexian Brothers Medical Center,Elk Grove Village,IL,14038,Elk Grove Village,IL,166,Melrose Park,IL
140275,"Genesis Med Ctr, Illini Campus",Silvis,IL,14124,Silvis,IL,191,Davenport,IA
140276,Loyola University Medical Center,Maywood,IL,14084,Melrose Park,IL,166,Melrose Park,IL
140280,Trinity Rock Island,Rock Island,IL,14116,Rock Island,IL,191,Davenport,IA
140281,Northwestern Memorial Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140286,Kishwaukee Community Hospital,DeKalb,IL,14028,DeKalb,IL,171,Rockford,IL
140288,Advocate Good Samaritan Hospital,Downers Grove,IL,14032,Downers Grove,IL,163,Hinsdale,IL
140289,Anderson Hospital,Maryville,IL,14079,Maryville,IL,273,St. Louis,MO
140290,St. Alexius Medical Center,Hoffman Estates,IL,14063,Hoffman Estates,IL,158,Elgin,IL
140291,Advocate Good Shepherd Hospital,Barrington,IL,14006,Barrington,IL,158,Elgin,IL
140292,Adventist GlenOaks Hospital,Glendale Heights,IL,14050,Glendale Heights,IL,166,Melrose Park,IL
140294,Crossroads Community Hospital,Mount Vernon,IL,14093,Mount Vernon,IL,273,St. Louis,MO
140300,Provident Hosp of Cook County,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140301,Oak Forest Hosp of Cook County,Oak Forest,IL,14057,Hazel Crest,IL,155,Blue Island,IL
140304,Adventist Bolingbrook Hospital,Bolingbrook,IL,14095,Naperville,IL,163,Hinsdale,IL
141300,Thomas H. Boyd Memorial Hospital,Carrollton,IL,14018,Carrollton,IL,172,Springfield,IL
141301,John and Mary Kirby Hospital,Monticello,IL,14089,Monticello,IL,173,Urbana,IL
141302,Midwest Medical Center,Galena,IL,16032,Dubuque,IA,193,Dubuque,IA
141303,Dr. John Warner Hospital,Clinton,IL,14026,Clinton,IL,172,Springfield,IL
141304,Mercer County Hospital,Aledo,IL,14001,Aledo,IL,191,Davenport,IA
141305,Memorial Hospital - Carthage,Carthage,IL,14019,Carthage,IL,172,Springfield,IL
141306,Community Memorial Hospital,Staunton,IL,14130,Staunton,IL,273,St. Louis,MO
141307,Pinckneyville Community Hospital,Pinckneyville,IL,14108,Pinckneyville,IL,273,St. Louis,MO
141308,Washington County Hospital,Nashville,IL,14096,Nashville,IL,273,St. Louis,MO
141309,Advocate Eureka Hospital,Eureka,IL,14146,Eureka,IL,170,Peoria,IL
141310,Mendota Community Hospital,Mendota,IL,14085,Mendota,IL,171,Rockford,IL
141311,Fairfield Memorial Hospital,Fairfield,IL,14043,Fairfield,IL,179,Evansville,IN
141312,Rochelle Community Hospital,Rochelle,IL,14115,Rochelle,IL,171,Rockford,IL
141313,Mason District Hospital,Havana,IL,14056,Havana,IL,172,Springfield,IL
141315,Illini Community Hospital,Pittsfield,IL,14109,Pittsfield,IL,172,Springfield,IL
141316,Hoopeston Regional Health Center,Hoopeston,IL,14064,Hoopeston,IL,173,Urbana,IL
141317,Gibson Area Hosp and Hlth Svcs,Gibson City,IL,14049,Gibson City,IL,173,Urbana,IL
141318,OSF Holy Family Medical Center,Monmouth,IL,14088,Monmouth,IL,170,Peoria,IL
141319,Hammond-Henry Hospital,Geneseo,IL,14048,Geneseo,IL,191,Davenport,IA
141320,Paris Community Hospital,Paris,IL,14103,Paris,IL,173,Urbana,IL
141321,Franklin Hospital District,Benton,IL,14009,Benton,IL,273,St. Louis,MO
141322,Abraham Lincoln Memorial Hosp,Lincoln,IL,14075,Lincoln,IL,172,Springfield,IL
141323,Massac Memorial Hospital,Metropolis,IL,14086,Metropolis,IL,208,Paducah,KY
141324,Ferrell Hospital,Eldorado,IL,14036,Eldorado,IL,179,Evansville,IN
141325,Kewanee Hospital,Kewanee,IL,14070,Kewanee,IL,170,Peoria,IL
141326,Hamilton Memorial Hosp District,McLeansboro,IL,14083,McLeansboro,IL,179,Evansville,IN
141327,Wabash General Hospital,Mount Carmel,IL,14092,Mount Carmel,IL,179,Evansville,IN
141328,Hardin County General Hospital,Rosiclare,IL,14118,Rosiclare,IL,179,Evansville,IN
141329,Morrison Community Hospital,Morrison,IL,14131,Sterling,IL,171,Rockford,IL
141330,Hopedale Medical Complex,Hopedale,IL,14065,Hopedale,IL,170,Peoria,IL
141331,Marshall Browning Hospital,Du Quoin,IL,14033,Du Quoin,IL,273,St. Louis,MO
141332,Hillsboro Area Hospital,Hillsboro,IL,14061,Hillsboro,IL,172,Springfield,IL
141333,Sarah D. Culbertson Mem Hosp,Rushville,IL,14119,Rushville,IL,172,Springfield,IL
141334,St. Joseph Memorial Hospital,Murphysboro,IL,14094,Murphysboro,IL,263,Cape Girardeau,MO
141335,Mercy Harvard Hospital,Harvard,IL,14054,Harvard,IL,171,Rockford,IL
141336,St. Joseph's Hospital-Highland,Highland,IL,14059,Highland,IL,273,St. Louis,MO
141337,Perry Memorial Hospital,Princeton,IL,14111,Princeton,IL,171,Rockford,IL
141338,Memorial Hospital - Chester,Chester,IL,14022,Chester,IL,273,St. Louis,MO
141339,Taylorville Memorial Hospital,Taylorville,IL,14134,Taylorville,IL,172,Springfield,IL
141340,Valley West Community Hospital,Sandwich,IL,14121,Sandwich,IL,154,Aurora,IL
141341,Pana Community Hospital,Pana,IL,14102,Pana,IL,172,Springfield,IL
141342,Union County Hospital,Anna,IL,14003,Anna,IL,263,Cape Girardeau,MO
141343,Crawford Memorial Hospital,Robinson,IL,14114,Robinson,IL,179,Evansville,IN
141344,Lawrence County Memorial Hosp,Lawrenceville,IL,14073,Lawrenceville,IL,179,Evansville,IN
141345,Salem Township Hospital,Salem,IL,14120,Salem,IL,273,St. Louis,MO
141346,Fayette County Hospital,Vandalia,IL,14137,Vandalia,IL,172,Springfield,IL
141347,Carlinville Area Hospital,Carlinville,IL,14016,Carlinville,IL,172,Springfield,IL
141348,Red Bud Regional Hospital,Red Bud,IL,14113,Red Bud,IL,273,St. Louis,MO
141349,Sparta Community Hospital,Sparta,IL,14126,Sparta,IL,273,St. Louis,MO
141350,St. Francis Hospital-Litchfield,Litchfield,IL,14076,Litchfield,IL,172,Springfield,IL
141351,Clay County Hospital,Flora,IL,14044,Flora,IL,172,Springfield,IL
141990,Hill Top Center,Lake Bluff,IL,14072,Lake Forest,IL,161,Evanston,IL
142013,Kindred Hospital Peoria,Peoria,IL,14106,Peoria,IL,170,Peoria,IL
150001,Johnson Memorial Hospital,Franklin,IN,15029,Franklin,IN,183,Indianapolis,IN
150002,Methodist Hospitals,Gary,IN,15030,Gary,IN,181,Gary,IN
150003,St. Elizabeth Central,Lafayette,IN,15045,Lafayette,IN,184,Lafayette,IN
150004,Franc St. Margaret-Hammond,Hammond,IN,15035,Hammond,IN,186,Munster,IN
150005,Hendricks Regional Health,Danville,IN,15020,Danville,IN,183,Indianapolis,IN
150006,Indiana Univ Hlth La Porte Hosp,La Porte,IN,15047,Laporte,IN,187,South Bend,IN
150007,Howard Regional Health System,Kokomo,IN,15044,Kokomo,IN,183,Indianapolis,IN
150008,St. Catherine Hosp-East Chicago,East Chicago,IN,15023,East Chicago,IN,186,Munster,IN
150009,Clark Memorial Hospital,Jeffersonville,IN,15041,Jeffersonville,IN,205,Louisville,KY
150010,St. Joseph Hospital-Kokomo,Kokomo,IN,15044,Kokomo,IN,183,Indianapolis,IN
150011,Marion General Hospital,Marion,IN,15053,Marion,IN,183,Indianapolis,IN
150012,St. Joseph Reg Med Ctr-Mishawaka,Mishawaka,IN,15076,South Bend,IN,187,South Bend,IN
150015,Franc St. Anthony-Michigan City,Michigan City,IN,15055,Michigan City,IN,181,Gary,IN
150017,Lutheran Hospital of Indiana,Fort Wayne,IN,15027,Fort Wayne,IN,180,Fort Wayne,IN
150018,Elkhart General Healthcare Sys,Elkhart,IN,15024,Elkhart,IN,187,South Bend,IN
150021,Parkview Hospital-Fort Wayne,Fort Wayne,IN,15027,Fort Wayne,IN,180,Fort Wayne,IN
150022,Franc St. Elizabeth-Crawfordsville,Crawfordsville,IN,15018,Crawfordsville,IN,183,Indianapolis,IN
150023,Union Hospital-Terre Haute,Terre Haute,IN,15079,Terre Haute,IN,188,Terre Haute,IN
150024,Wishard Health Services,Indianapolis,IN,15039,Indianapolis,IN,183,Indianapolis,IN
150026,Indiana Univ Hlth Goshen Hosp,Goshen,IN,15031,Goshen,IN,187,South Bend,IN
150030,Henry County Hospital,New Castle,IN,15060,New Castle,IN,183,Indianapolis,IN
150033,Franc St. Francis-Beech Grove,Beech Grove,IN,15006,Beech Grove,IN,183,Indianapolis,IN
150034,St. Mary Medical Center-Hobart,Hobart,IN,15030,Gary,IN,181,Gary,IN
150035,Porter-Valparaiso Hospital,Valparaiso,IN,15082,Valparaiso,IN,181,Gary,IN
150037,Hancock Regional Hospital,Greenfield,IN,15033,Greenfield,IN,183,Indianapolis,IN
150038,Morgan Hospital and Med Ctr,Martinsville,IN,15054,Martinsville,IN,183,Indianapolis,IN
150042,Good Samaritan Hospital,Vincennes,IN,15083,Vincennes,IN,179,Evansville,IN
150044,Floyd Mem Hosp and Hlth Services,New Albany,IN,15059,New Albany,IN,205,Louisville,KY
150045,DeKalb Memorial Hospital,Auburn,IN,15003,Auburn,IN,180,Fort Wayne,IN
150046,Terre Haute Regional Hospital,Terre Haute,IN,15079,Terre Haute,IN,188,Terre Haute,IN
150047,St. Joseph Hospital-Fort Wayne,Fort Wayne,IN,15027,Fort Wayne,IN,180,Fort Wayne,IN
